LINEAR;LED1;LED2;LED3
0;0;0;0
1;1;1;1
2;1;1;1
3;1;1;1
4;1;1;1
5;2;1;1
6;2;1;1
7;2;1;1
8;2;1;1
9;3;1;1
10;3;1;1
11;3;2;1
12;3;2;1
13;4;2;1
14;4;2;1
15;4;2;1
16;4;2;1
17;5;2;1
18;5;2;1
19;5;3;2
20;5;3;2
21;6;3;2
22;6;3;2
23;6;3;2
24;6;3;2
25;7;3;2
26;7;3;2
27;7;4;2
28;7;4;2
29;8;4;2
30;8;4;2
31;8;4;2
32;8;4;2
33;9;4;2
34;9;4;2
35;9;4;2
36;10;4;2
37;10;5;2
38;10;5;2
39;11;5;2
40;11;5;2
41;11;5;2
42;12;5;2
43;12;5;3
44;12;5;3
45;13;5;3
46;13;6;3
47;13;6;3
48;14;6;3
49;14;6;3
50;14;6;3
51;15;6;3
52;15;7;3
53;16;7;3
54;16;7;3
55;17;7;3
56;17;7;3
57;18;7;3
58;18;8;4
59;19;8;4
60;19;8;4
61;20;8;4
62;20;8;4
63;21;8;4
64;21;9;4
65;22;9;4
66;22;9;4
67;23;9;4
68;24;9;4
69;24;9;4
70;25;10;5
71;26;10;5
72;26;10;5
73;27;10;5
74;28;10;5
75;28;10;5
76;29;11;5
77;30;11;5
78;30;11;5
79;31;11;6
80;32;11;6
81;32;11;6
82;33;12;6
83;34;12;6
84;34;12;6
85;35;12;6
86;36;12;6
87;36;12;7
88;37;13;7
89;38;13;7
90;38;13;7
91;39;13;7
92;40;13;7
93;40;14;8
94;41;14;8
95;42;14;8
96;42;14;8
97;43;15;8
98;44;15;8
99;44;15;9
100;45;15;9
101;46;16;9
102;46;16;9
103;47;16;9
104;48;16;10
105;48;17;10
106;49;17;10
107;50;17;10
108;51;17;10
109;52;18;11
110;52;18;11
111;53;18;11
112;54;19;11
113;55;19;12
114;55;19;12
115;56;20;12
116;57;20;12
117;58;20;13
118;58;21;13
119;59;21;13
120;60;22;14
121;61;22;14
122;61;23;14
123;62;23;14
124;63;24;15
125;64;24;15
126;64;25;15
127;65;25;16
128;66;26;16
129;67;26;16
130;67;27;17
131;68;27;17
132;69;28;18
133;70;28;18
134;71;29;18
135;72;29;19
136;73;30;19
137;74;30;20
138;75;31;20
139;76;31;21
140;77;32;21
141;78;32;21
142;79;33;22
143;80;33;22
144;81;34;23
145;82;34;23
146;83;35;24
147;84;35;24
148;85;36;25
149;86;36;25
150;87;37;26
151;88;37;27
152;89;38;27
153;90;38;28
154;91;39;28
155;92;39;29
156;93;40;30
157;94;40;30
158;95;41;31
159;96;41;32
160;97;42;32
161;98;43;33
162;99;44;34
163;100;45;35
164;101;46;35
165;102;47;36
166;103;48;37
167;105;49;38
168;106;50;39
169;107;51;39
170;108;52;40
171;110;53;41
172;111;54;42
173;112;55;43
174;113;56;44
175;115;57;45
176;116;58;46
177;117;59;47
178;118;60;48
179;120;61;49
180;121;63;50
181;122;64;51
182;123;66;52
183;125;67;53
184;126;69;55
185;127;70;56
186;128;72;57
187;130;73;58
188;131;75;59
189;132;76;61
190;133;78;62
191;135;80;63
192;136;82;65
193;137;84;66
194;138;86;68
195;140;88;69
196;141;90;71
197;142;92;72
198;144;94;74
199;145;96;76
200;146;98;77
201;148;100;79
202;149;102;81
203;150;104;82
204;152;107;84
205;153;109;86
206;154;112;88
207;156;114;90
208;157;117;92
209;158;119;94
210;160;122;96
211;161;124;98
212;162;127;100
213;164;129;102
214;165;132;105
215;167;134;107
216;168;137;109
217;170;139;112
218;171;142;114
219;173;145;117
220;174;147;119
221;176;150;122
222;178;152;124
223;180;155;127
224;182;157;130
225;184;160;133
226;186;162;136
227;188;165;139
228;190;168;142
229;192;171;145
230;194;174;148
231;196;177;151
232;198;180;155
233;200;183;158
234;202;186;162
235;204;189;165
236;207;192;169
237;209;196;172
238;212;199;176
239;214;203;180
240;217;206;184
241;219;210;188
242;222;213;192
243;224;217;196
244;227;220;201
245;229;224;205
246;232;227;210
247;234;231;214
248;237;234;219
249;239;237;224
250;242;241;229
251;244;244;234
252;247;248;239
253;250;251;244
254;252;253;250
255;255;255;255
